ORGANIZATION NAME,Legal Business Name,CCN,Provider Name,State,City/Town,Chain ID,Chain Name
DANUBE RIVER HOLDINGS LLC,DANUBE RIVER HOLDINGS LLC,056101,RIVER POINTE POST-ACUTE,CA,CARMICHAEL,318,LINKS HEALTHCARE GROUP
ACCURA HEALTHCARE OF CRESCO LLC,ACCURA HEALTHCARE OF CRESCO LLC,165490,Accura Healthcare of Cresco,IA,Cresco,8,ACCURA HEALTHCARE
STONEBRIDGE HEALTH & REHABILITATION CENTER LLC,STONEBRIDGE HEALTH & REHABILITATION CENTER LLC,395785,STONEBRIDGE HEALTH & REHABILITATION CENTER,PA,DUNCANNON,461,SABER HEALTHCARE GROUP
BROAD MOUNTAIN HEALTH & REHABILITATION CENTER LLC,BROAD MOUNTAIN HEALTH & REHABILITATION CENTER LLC,395286,BROAD MOUNTAIN HEALTH AND REHABILITATION CENTER,PA,FRACKVILLE,461,SABER HEALTHCARE GROUP
"LANGHORNE GARDENS HEALTH & REHABILITATION CENTER, LLC","LANGHORNE GARDENS HEALTH & REHABILITATION CENTER, LLC",395521,LANGHORNE GARDENS HEALTH & REHABILITATION CENTER,PA,LANGHORNE,461,SABER HEALTHCARE GROUP
ELKINS CREST HEALTH & REHABILITATION CENTER LLC,ELKINS CREST HEALTH & REHABILITATION CENTER LLC,395711,ELKINS CREST HEALTH & REHABILITATION CENTER,PA,ELKINS PARK,461,SABER HEALTHCARE GROUP
STATESMAN HEALTH & REHABILITATION CENTER LLC,STATESMAN HEALTH & REHABILITATION CENTER LLC,395259,STATESMAN HEALTH & REHABILITATION CENTER,PA,LEVITTOWN,461,SABER HEALTHCARE GROUP
THE BAY AT EASTVIEW HEALTH AND REHABILITATION LLC,THE BAY AT EASTVIEW HEALTH AND REHABILITATION LLC,525410,EASTVIEW HEALTH AND REHABILITATION CENTER,WI,ANTIGO,134,CHAMPION CARE
PEORIA HEALTHCARE LLC,PEORIA HEALTHCARE LLC,035144,PEORIA POST ACUTE AND REHABILITATION,AZ,PEORIA,507,THE ENSIGN GROUP
ACCURA HEALTHCARE OF CARROLL,ACCURA HEALTHCARE OF CARROLL,165455,Accura Healthcare of Carroll,IA,Carroll,8,ACCURA HEALTHCARE
AHC OF CINCINNATI LLC,AHC OF CINCINNATI LLC,366467,ADVANCED HEALTH CARE OF CINCINNATI,OH,CINCINNATI,11,ADVANCED HEALTH CARE
1019 WICKER STREET OPERATING COMPANY LLC,1019 WICKER STREET OPERATING COMPANY LLC,335482,ELDERWOOD AT TICONDEROGA,NY,TICONDEROGA,196,ELDERWOOD
BLUE CREEK HEALTHCARE LLC,BLUE CREEK HEALTHCARE LLC,365756,WHITEHOUSE COUNTRY MANOR,OH,WHITEHOUSE,271,HILLSTONE HEALTHCARE
ALLIANCE HEALTH OPERATIONS LLC,ALLIANCE HEALTH OPERATIONS LLC,335811,LINDEN CENTER FOR NURSING AND REHABILITATION,NY,BROOKLYN,734,ALLURE GROUP
THE SANDS AT SOUTH BEACH FACILITY INC,THE SANDS AT SOUTH BEACH FACILITY INC,105229,"SANDS AT SOUTH BEACH CARE CENTER, THE",FL,MIAMI BEACH,385,ONYX HEALTH
"TREMONT HEALTH & REHABILITATION CENTER, LLC","TREMONT HEALTH & REHABILITATION CENTER, LLC",395499,TREMONT HEALTH & REHABILITATION CENTER,PA,TREMONT,461,SABER HEALTHCARE GROUP
KENTON NURSING & REHABILITATION CENTER LLC,KENTON NURSING & REHABILITATION CENTER LLC,365843,KENTON NURSING AND REHABILITATION CENTER,OH,KENTON,37,AOM HEALTHCARE
TISWELL LEASING CO LLC,TISWELL LEASING CO LLC,495211,MOUNT VERNON HEALTHCARE CENTER,VA,ALEXANDRIA,153,COMMUNICARE HEALTH
"LHCG XII, LLC","LHCG XII, LLC",195639,LOUISIANA EXTENDED CARE HOSPITAL OF LAFAYETTE,LA,LAFAYETTE,425,PRIORITY MANAGEMENT
ADDISON LEASING CO LLC,ADDISON LEASING CO LLC,365991,ADDISON HEALTHCARE CENTER,OH,MASURY,153,COMMUNICARE HEALTH
BENTLEY LEASING CO LLC,BENTLEY LEASING CO LLC,366096,SALEM WEST HEALTHCARE CENTER,OH,SALEM,153,COMMUNICARE HEALTH
"COLON LEASING CO., LLC","COLON LEASING CO., LLC",365633,THE COLONY HEALTHCARE CENTER,OH,TALLMADGE,153,COMMUNICARE HEALTH
"CONTINENTAL I LEASING CO., LLC","CONTINENTAL I LEASING CO., LLC",366104,SALEM NORTH HEALTHCARE CENTER,OH,SALEM,153,COMMUNICARE HEALTH
17TH ST LEASING CO LLC,17TH ST LEASING CO LLC,365862,THE PINES HEALTHCARE CENTER,OH,CANTON,153,COMMUNICARE HEALTH
CANFIELD LEASING CO LLC,CANFIELD LEASING CO LLC,365972,CANFIELD HEALTHCARE CENTER,OH,YOUNGSTOWN,153,COMMUNICARE HEALTH
REICHART LEASING CO LLC,REICHART LEASING CO LLC,365629,DIXON HEALTHCARE CENTER,OH,WINTERSVILLE,153,COMMUNICARE HEALTH
"ROBINAIR LEASING CO., LLC","ROBINAIR LEASING CO., LLC",365495,EVERGREEN HEALTHCARE CENTER,OH,MONTPELIER,153,COMMUNICARE HEALTH
S MERIDIAN LEASING CO LLC,S MERIDIAN LEASING CO LLC,365732,AUSTINTOWN HEALTHCARE CENTER,OH,YOUNGSTOWN,153,COMMUNICARE HEALTH
PARAMOUNT NURSING AND REHABILITATION AT FAYETTEVILLE LLC,PARAMOUNT NURSING AND REHABILITATION AT FAYETTEVILLE LLC,395721,"PARAMOUNT NURSING AND REHAB AT FAYETTEVILLE, LLC",PA,FAYETTEVILLE,,
INDIANA LEASING CO LLC,INDIANA LEASING CO LLC,365809,GRANDE LAKE HEALTHCARE CENTER,OH,ST MARYS,153,COMMUNICARE HEALTH
EDGEWOOD MANOR OF GREENFIELD LLC,EDGEWOOD MANOR OF GREENFIELD LLC,365221,EDGEWOOD MANOR OF GREENFIELD,OH,GREENFIELD,37,AOM HEALTHCARE
RIDGEWOOD MANOR LLC,RIDGEWOOD MANOR LLC,365952,RIDGEWOOD MANOR,OH,MAUMEE,37,AOM HEALTHCARE
PIKETON NURSING CENTER LLC,PIKETON NURSING CENTER LLC,365961,PIKETON NURSING CENTER,OH,PIKETON,37,AOM HEALTHCARE
HERITAGE HEALTHCARE LLC,"HERITAGE HEALTH CARE & REHAB, INC.",015371,HERITAGE HEALTH CARE & REHAB INC,AL,TUSCALOOSA,,
EDGEWOOD MANOR OF LUCASVILLE II LLC,EDGEWOOD MANOR OF LUCASVILLE II LLC,365932,EDGEWOOD MANOR OF LUCASVILLE II,OH,LUCASVILLE,37,AOM HEALTHCARE
EDGEWOOD MANOR OF LUCASVILLE I LLC,EDGEWOOD MANOR OF LUCASVILLE I LLC,365585,EDGEWOOD MANOR OF LUCASVILLE I,OH,LUCASVILLE,37,AOM HEALTHCARE
ADDISON HEIGHTS HEALTH AND REHABILITATION CENTER LLC,ADDISON HEIGHTS HEALTH AND REHABILITATION CENTER LLC,366041,ADDISON HEIGHTS HEALTH AND REHABILITATION CENTER,OH,MAUMEE,37,AOM HEALTHCARE
EDGEWOOD MANOR OF WELLSTON LLC,EDGEWOOD MANOR OF WELLSTON LLC,365939,EDGEWOOD MANOR OF WELLSTON,OH,WELLSTON,37,AOM HEALTHCARE
PARKVIEW CARE CENTER LLC,PARKVIEW CARE CENTER LLC,366081,PARKVIEW CARE CENTER,OH,FREMONT,37,AOM HEALTHCARE
MCCLAY HEALTH AND REHAB LLC,MCCLAY HEALTH AND REHAB LLC,265875,MCCLAY SENIOR CARE,MO,SAINT PETERS,,
FREEDOM PLAZA OPERATING COMPANY LLC,FREEDOM PLAZA OPERATING COMPANY LLC,035256,FREEDOM PLAZA CARE CENTER,AZ,PEORIA,228,FREEDOM MANAGEMENT COMPANY
VANCREST OF PAYNE LLC,VANCREST OF PAYNE LLC,366468,VANCREST OF PAYNE,OH,PAYNE,542,VANCREST HEALTH CARE CENTERS
"CV LOUISVILLE OPCO I, LLC","CV LOUISVILLE OPCO I, LLC",185348,Sycamore Heights Health and Rehabilitation,KY,Louisville,580,SIMCHA HYMAN & NAFTALI ZANZIPER
WT OPERATING LLC,WT OPERATING LLC,396129,WILLOW TERRACE,PA,PHILADELPHIA,765,JONATHAN BLEIER
"COUNTRYSIDE CENTER FOR REHABILITATION AND NURSING, LLC","COUNTRYSIDE CENTER FOR REHABILITATION AND NURSING, LLC",185382,COUNTRYSIDE CENTER FOR REHABILITATION AND NURSING,KY,BARDWELL,580,SIMCHA HYMAN & NAFTALI ZANZIPER
"PADUCAH CENTER FOR HEALTH AND REHABILITATION, LLC","PADUCAH CENTER FOR HEALTH AND REHABILITATION, LLC",185312,STONECREEK HEALTH AND REHABILITATION,KY,PADUCAH,580,SIMCHA HYMAN & NAFTALI ZANZIPER
"JEFFERSONTOWN OPCO, LLC","JEFFERSONTOWN OPCO, LLC",185268,JEFFERSONTOWN REHABILITATION,KY,JEFFERSONTOWN,580,SIMCHA HYMAN & NAFTALI ZANZIPER
UNIQUE REHABILITATION AND HEALTH CENTER LLC,UNIQUE REHABILITATION AND HEALTH CENTER LLC,095036,UNIQUE REHABILITATION AND HEALTH CENTER LLC,DC,WASHINGTON,,
DESERT CANYON POST ACUTE LLC,DESERT CANYON POST ACUTE LLC,055307,"Desert Canyon Post Acute, LLC",CA,LANCASTER,1,"ABBY GL, LLC"
ACCURA HEALTHCARE OF MILFORD LLC,ACCURA HEALTHCARE OF MILFORD LLC,165402,Accura Healthcare of Milford,IA,Milford,8,ACCURA HEALTHCARE
"LAKEPORT POST ACUTE, LLC","LAKEPORT POST ACUTE, LLC",555222,LAKEPORT POST ACUTE,CA,LAKEPORT,690,PACS GROUP
INSPIRE REHABILITATION AND HEALTH CENTER LLC,INSPIRE REHABILITATION AND HEALTH CENTER LLC,095031,INSPIRE REHABILITATION AND HEALTH CENTER LLC,DC,WASHINGTON,,
CAPITAL OAKS NURSING & REHABILITATION CENTER LLC,CAPITAL OAKS NURSING & REHABILITATION CENTER LLC,195635,CAPITAL OAKS NURSING & REHABILITATION CENTER LLC,LA,BATON ROUGE,130,CENTRAL MANAGEMENT COMPANY
YRNC OPERATING LLC,YRNC OPERATING LLC,335078,YORKTOWN REHABILITATION & NURSING CENTER,NY,CORTLANDT MANOR,398,"PERSONAL HEALTHCARE, LLC"
BRIO OF JOHNSTON LLC,BRIO OF JOHNSTON LLC,165624,"Brio of Johnston, LLC",IA,Johnston,561,WESLEYLIFE
"APACHE TRAIL HEALTHCARE, INC.","APACHE TRAIL HEALTHCARE, INC.",035110,SUN WEST CHOICE HEALTHCARE & REHAB,AZ,SUN CITY WEST,507,THE ENSIGN GROUP
LAKELAND SNF INVESTORS LLC,LAKELAND SNF INVESTORS LLC,106120,SCOTT LAKE HEALTH AND REHABILITATION CENTER,FL,LAKELAND,497,"SUMMITT CARE II, INC."
"NORTHLAND REHABILITATION & HEALTH CARE CENTER, LLC","NORTHLAND REHABILITATION & HEALTH CARE CENTER, LLC",265870,NORTHLAND REHABILITATION & HEALTH CARE CENTER,MO,KANSAS CITY,531,TUTERA SENIOR LIVING & HEALTH CARE
HELIA HEALTHCARE OF SALEM LLC,HELIA HEALTHCARE OF SALEM LLC,145247,DOCTORS NURSING & REHAB CENTER,IL,SALEM,263,HELIA HEALTHCARE
GRACELAND NURSING OPERATOR LLC,GRACELAND NURSING OPERATOR LLC,445331,GRACELAND REHABILITATION AND NURSING CARE CENTER,TN,MEMPHIS,,
"BRIDGEPARK OPERATIONS, LLC","BRIDGEPARK OPERATIONS, LLC",215195,AUTUMN LAKE HEALTHCARE AT BRIDGEPARK,MD,BALTIMORE,56,AUTUMN LAKE HEALTHCARE
ACCURA HEALTHCARE OF MARSHALLTOWN LLC,ACCURA HEALTHCARE OF MARSHALLTOWN LLC,165451,Accura Healthcare of Marshalltown,IA,Marshalltown,8,ACCURA HEALTHCARE
FAIR OAKS NURSING AND REHAB LLC,FAIR OAKS NURSING AND REHAB LLC,245581,Fair Oaks Nursing & Rehab LLC,MN,WADENA,192,EDEN SENIOR CARE
NSH MAPLE RIDGE LLC,NSH MAPLE RIDGE LLC,525359,MAPLE RIDGE HEALTH SERVICES,WI,MILWAUKEE,377,NORTH SHORE HEALTHCARE
COLUMBIA TN SNF LLC,COLUMBIA TN SNF LLC,445465,MAGNOLIA HEALTHCARE AND REHABILITATION CENTER,TN,COLUMBIA,,
"AUBURNDALE OAKS CARE ACQUISITION, LLC","AUBURNDALE OAKS CARE ACQUISITION, LLC",105302,OAK HAVEN REHAB AND NURSING CENTER,FL,AUBURNDALE,800,ASTON HEALTH
LAUREL POINT CARE ACQUISITION LLC,LAUREL POINT CARE ACQUISITION LLC,105382,SANDGATE GARDENS REHAB AND NURSING CENTER,FL,FORT PIERCE,800,ASTON HEALTH
"WEST JACKSONVILLE CARE ACQUISITION, LLC","WEST JACKSONVILLE CARE ACQUISITION, LLC",105707,FOURAKER HILLS REHAB AND NURSING CENTER,FL,JACKSONVILLE,800,ASTON HEALTH
CLEAR WATER CARE ACQUISITION LLC,CLEAR WATER CARE ACQUISITION LLC,105453,KENSINGTON GARDENS REHAB AND NURSING CENTER,FL,CLEARWATER,800,ASTON HEALTH
KEYSTONE NURSING AND REHAB OF LANCASTER LLC,KEYSTONE NURSING AND REHAB OF LANCASTER LLC,395177,ROSE CITY NURSING AND REHAB AT LANCASTER,PA,LANCASTER,321,LME FAMILY HOLDINGS
KEYSTONE NURSING AND REHAB OF READING LLC,KEYSTONE NURSING AND REHAB OF READING LLC,395627,Fairlane Gardens Nursing and Rehab at Reading,PA,READING,321,LME FAMILY HOLDINGS
"TRILOGY HEALTHCARE OF LIMA II, LLC","TRILOGY HEALTHCARE OF LIMA II, LLC",366464,SPRINGS OF LIMA THE,OH,LIMA,524,TRILOGY HEALTH SERVICES
"COVINGTON TN OPCO, LLC","COVINGTON TN OPCO, LLC",445461,MAGNOLIA CREEK NURSING AND REHABILITATION,TN,COVINGTON,580,SIMCHA HYMAN & NAFTALI ZANZIPER
COMPLETE CARE AT MANITOWOC LLC,COMPLETE CARE AT MANITOWOC LLC,525441,Complete Care at Manitowoc LLC,WI,MANITOWOC,157,COMPLETE CARE
CENTERVILLE CARE & REHAB CENTER INC,CENTERVILLE CARE & REHAB CENTER INC,435088,Centerville Care and Rehab Center Inc,SD,CENTERVILLE,,
RANCH HOUSE NURSING FACILITY OPERATIONS LLC,RANCH HOUSE NURSING FACILITY OPERATIONS LLC,175562,RANCH HOUSE SENIOR LIVING LLC,KS,GARDEN CITY,350,MIDWEST HEALTH
CAMERON OPCO LLC,CAMERON OPCO LLC,676174,LEGACY NURSING AND REHABILITATION,TX,CAMERON,307,LEGACY NURSING & REHABILITATION
MEADOW PARK OPERATOR LLC,MEADOW PARK OPERATOR LLC,215347,MEADOW PARK REHABILITATION AND HEALTHCARE CENTER,MD,CATONSVILLE,336,MARQUIS HEALTH SERVICES
HARBORVIEW REHABILITATION AND CARE CENTER AT LANSDALE LLC,HARBORVIEW REHABILITATION AND CARE CENTER AT LANSDALE LLC,395256,HARBORVIEW REHABILITATION AND CARE CENTER AT LANSD,PA,LANSDALE,321,LME FAMILY HOLDINGS
FARGO NURSING AND REHAB CENTER LLC,FARGO NURSING AND REHAB CENTER LLC,355024,THE MEADOWS ON UNIVERSITY,ND,FARGO,193,EDURO HEALTHCARE
HARBORVIEW REHABILITATION AND CARE CENTER AT DOYLESTOWN LLC,HARBORVIEW REHABILITATION AND CARE CENTER AT DOYLESTOWN LLC,395277,Harborview Rehabilitation Care Center at Doylestow,PA,DOYLESTOWN,321,LME FAMILY HOLDINGS
THE BAY AT WATERS EDGE HEALTH AND REHABILITATION LLC,THE BAY AT WATERS EDGE HEALTH AND REHABILITATION LLC,525281,WATERS EDGE HEALTH AND REHABILITATION CENTER,WI,KENOSHA,134,CHAMPION CARE
BRIAR PLACE NURSING LLC,BRIAR PLACE NURSING LLC,145784,BRIAR PLACE NURSING,IL,INDIAN HEAD PARK,777,SABA HEALTHCARE
BARFIELD HEALTH CARE ACQUISITION CORPORATION,BARFIELD HEALTH CARE ACQUISITION CORPORATION,015225,BARFIELD HEALTH CARE,AL,GUNTERSVILLE,444,REHAB SELECT
SENEX FOUNDATION OF NEBRASKA INC,SENEX FOUNDATION OF NEBRASKA INC,285224,Skyview Care and Rehab at Bridgeport,NE,Bridgeport,,
RESORTS AT CHESTER RIVER MANOR CORP,RESORTS AT CHESTER RIVER MANOR CORP,215262,RESORTS AT CHESTER RIVER MANOR CORP,MD,CHESTERTOWN,,
BUCKINGHAM PLACE SNF LLC,BUCKINGHAM PLACE SNF LLC,395188,BUCKINGHAM VALLEY REHABILITATION AND NURSINGCENTER,PA,BUCKINGHAM,418,PRESTIGE HEALTHCARE ADMINISTRATIVE SERVICES
"ATLANTIC CARE ACQUISITION, LLC","ATLANTIC CARE ACQUISITION, LLC",105399,SEA BREEZE REHAB AND NURSING CENTER,FL,VERO BEACH,800,ASTON HEALTH
MISSION POINT OF DETROIT LLC,MISSION POINT OF DETROIT LLC,235595,Mission Point Nursing & Physical Rehab Center of D,MI,Detroit,356,MISSION POINT HEALTHCARE SERVICES
TERREL II INVESTMENTS LLC,TERREL II INVESTMENTS LLC,675534,WHEELER NURSING & REHABILITATION,TX,WHEELER,,
STENTON CARE LLC,STENTON CARE LLC,395764,LIBERTY CENTER FOR REHABILITATION AND NURSING,PA,PHILADELPHIA,321,LME FAMILY HOLDINGS
PHOENIXVILLE CARE LLC,PHOENIXVILLE CARE LLC,395284,"PHOENIX CENTER FOR REHABILITATION AND NURSING,THE",PA,PHOENIXVILLE,321,LME FAMILY HOLDINGS
"EL PASO IV ENTERPRISES, LLC","EL PASO IV ENTERPRISES, LLC",676375,ST GILES NURSING AND REHABILITATION CENTER,TX,EL PASO,169,CREATIVE SOLUTIONS IN HEALTHCARE
"TRILOGY HEALTHCARE OF CLERMONT, LLC","TRILOGY HEALTHCARE OF CLERMONT, LLC",366465,GLEN THE,OH,CINCINNATI,524,TRILOGY HEALTH SERVICES
CHESTER PLACE SNF LLC,CHESTER PLACE SNF LLC,395519,GREEN MEADOWS NURSING & REHABILITATION CENTER,PA,MALVERN,418,PRESTIGE HEALTHCARE ADMINISTRATIVE SERVICES
"ACCORDIUS HEALTH AT SALISBURY, LLC","ACCORDIUS HEALTH AT SALISBURY, LLC",345115,Salisbury Rehabilitation and Nursing Center,NC,Salisbury,580,SIMCHA HYMAN & NAFTALI ZANZIPER
ROSEMONT CARE LLC,ROSEMONT CARE LLC,395193,ROSEMONT CENTER,PA,ROSEMONT,321,LME FAMILY HOLDINGS
HELIA HEALTHCARE OF EFFINGHAM LLC,HELIA HEALTHCARE OF EFFINGHAM LLC,145628,EVERGREEN NURSING & REHAB CENTER,IL,EFFINGHAM,263,HELIA HEALTHCARE
COMPLETE CARE AT VILLA PINES LLC,COMPLETE CARE AT VILLA PINES LLC,525351,Aria at Villa Pines,WI,Friendship,818,ARIA HEALTHCARE
COMPLETE CARE AT LAURELTON LLC,COMPLETE CARE AT LAURELTON LLC,315274,"COMPLETE CARE AT LAURELTON, LLC",NJ,BRICK,157,COMPLETE CARE
WEST BLOOMFIELD SNF LLC,"WEST BLOOMFIELD HEALTH AND REHABILITATION CENTER, LLC",235488,West Bloomfield Health and Rehabilitation Center,MI,West Bloomfield,,
COMPLETE CARE AT LINWOOD LLC,COMPLETE CARE AT LINWOOD LLC,315185,"COMPLETE CARE AT LINWOOD, LLC",NJ,LINWOOD,157,COMPLETE CARE
ABERDEEN NURSING AND REHAB CENTER LLC,ABERDEEN NURSING AND REHAB CENTER LLC,435004,PRAIRIE HEIGHTS HEALTHCARE,SD,ABERDEEN,193,EDURO HEALTHCARE
COMPLETE CARE AT NAZARETH LLC,COMPLETE CARE AT NAZARETH LLC,525681,Complete Care at Nazareth LLC,WI,Stoughton,157,COMPLETE CARE
"MCCALL HEALTHCARE, LLC","MCCALL HEALTHCARE, LLC",135082,MCCALL REHABILITATION AND CARE CENTER,ID,MCCALL,507,THE ENSIGN GROUP
AJ ARISTOCRAT BEREA OPCO LLC,AJ ARISTOCRAT BEREA OPCO LLC,365608,ARISTOCRAT BEREA HEALTHCARE AND REHABILITATION,OH,BEREA,132,CERTUS HEALTHCARE
AJ CANDLEWOOD PARK OPCO LLC,AJ CANDLEWOOD PARK OPCO LLC,365353,CANDLEWOOD HEALTHCARE AND REHABILITATION,OH,EAST CLEVELAND,132,CERTUS HEALTHCARE
AJ CITYVIEW NURSING & REHAB OPCO LLC,AJ CITYVIEW NURSING & REHAB OPCO LLC,365879,CITYVIEW HEALTHCARE AND REHABILITATION,OH,CLEVELAND,132,CERTUS HEALTHCARE
1015 NORTH GARRISON LLC,1015 NORTH GARRISON LLC,505269,VANCOUVER SPECIALTY AND REHAB CARE,WA,VANCOUVER,,
ARISTA HEALTHCARE LLC,ARISTA HEALTHCARE LLC,145358,ARISTA HEALTHCARE,IL,NAPERVILLE,777,SABA HEALTHCARE
"CT OHIO BELLBROOK, LLC","CT OHIO BELLBROOK, LLC",365626,BELLBROOK HEALTH AND REHAB,OH,BELLBROOK,580,SIMCHA HYMAN & NAFTALI ZANZIPER
PENNYPACK CENTER SNF LLC,PENNYPACK CENTER SNF LLC,395135,PENNYPACK NURSING AND REHABILITATION CENTER,PA,PHILADELPHIA,282,IMPERIAL HEALTHCARE GROUP
"SAIL NURSING AND REHABILITATION CENTER, LLC","SAIL NURSING AND REHABILITATION CENTER, LLC",105813,PARK RIDGE NURSING CENTER,FL,JACKSONVILLE,338,MAXIMUS HEALTHCARE GROUP
ROSE VIEW CENTER SNF LLC,ROSE VIEW CENTER SNF LLC,395767,ROSE VIEW NURSING AND REHABILITATION CENTER,PA,WILLIAMSPORT,282,IMPERIAL HEALTHCARE GROUP
CHOCTAW REGIONAL MEDICAL CENTER,CHOCTAW REGIONAL MEDICAL CENTER,255347,CHOCTAW NURSING AND REHABILITATION CENTER,MS,ACKERMAN,,
COMPLETE CARE AT HAMILTON LLC,COMPLETE CARE AT HAMILTON LLC,315221,"COMPLETE CARE AT HAMILTON, LLC",NJ,PASSAIC,157,COMPLETE CARE
AJ SUBURBAN PAVILION OPCO LLC,AJ SUBURBAN PAVILION OPCO LLC,365215,SUBURBAN HEALTHCARE AND REHABILITATION,OH,NORTH RANDALL,,
SUNTERRA SPRINGFIELD OC LLC,SUNTERRA SPRINGFIELD OC LLC,265871,SUNTERRA SPRINGS SPRINGFIELD,MO,SPRINGFIELD,499,SUNTERRA SPRINGS
"CT OHIO BEAVERCREEK, LLC","CT OHIO BEAVERCREEK, LLC",366400,BEAVERCREEK HEALTH AND REHAB,OH,BEAVERCREEK,580,SIMCHA HYMAN & NAFTALI ZANZIPER
DUBLIN HEALTH PROPERTIES LLC,DUBLIN HEALTH PROPERTIES LLC,115356,DUBLINAIR HEALTH & REHAB,GA,DUBLIN,95,C. ROSS MANAGEMENT
CT OHIO ENGLEWOOD LLC,CT OHIO ENGLEWOOD LLC,365088,ENGLEWOOD HEALTH AND REHAB,OH,ENGLEWOOD,580,SIMCHA HYMAN & NAFTALI ZANZIPER
CHERRY LANE OPERATING GROUP LLC,CHERRY LANE OPERATING GROUP LLC,215177,AUTUMN LAKE HEALTHCARE AT CHERRY LANE,MD,LAUREL,56,AUTUMN LAKE HEALTHCARE
CT OHIO JAMESTOWN LLC,CT OHIO JAMESTOWN LLC,365368,JAMESTOWN PLACE HEALTH AND REHAB,OH,JAMESTOWN,580,SIMCHA HYMAN & NAFTALI ZANZIPER
CT OHIO PORTSMOUTH LLC,CT OHIO PORTSMOUTH LLC,365643,PORTSMOUTH HEALTH AND REHAB,OH,PORTSMOUTH,580,SIMCHA HYMAN & NAFTALI ZANZIPER
CT OHIO XENIA LLC,CT OHIO XENIA LLC,365187,XENIA HEALTH AND REHAB,OH,XENIA,580,SIMCHA HYMAN & NAFTALI ZANZIPER
PROSPECT ACQUISITION I LLC,PROSPECT ACQUISITION I LLC,335625,DOWNTOWN BROOKLYN NURSING & REHABILITATION CENTER,NY,BROOKLYN,119,CASSENA CARE
FOLTSCARE LLC,FOLTSCARE LLC,335510,FOLTSBROOK CENTER FOR NURSING AND REHABILITATION,NY,HERKIMER,705,WECARE CENTERS
CT OHIO DAYTON-CENTERVILLE LLC,CT OHIO DAYTON-CENTERVILLE LLC,365764,CENTERVILLE HEALTH AND REHAB,OH,DAYTON,580,SIMCHA HYMAN & NAFTALI ZANZIPER
ALTERCARE COSHOCTON INC,ALTERCARE COSHOCTON INC,365890,ALTERCARE COSHOCTON INC.,OH,COSHOCTON,26,ALTERCARE
TITUS COUNTY HOSPITAL DISTRICT,TITUS COUNTY HOSPITAL DISTRICT,675812,WHISPERING PINES NURSING AND REHAB,TX,WINNSBORO,,
ALTERCARE CAMBRIDGE INC,ALTERCARE CAMBRIDGE INC,366128,ALTERCARE CAMBRIDGE INC.,OH,CAMBRIDGE,26,ALTERCARE
NEXION HEALTH AT INDIANOLA INC,NEXION HEALTH AT INDIANOLA INC,255185,INDIANOLA REHABILITATION AND HEALTHCARE CENTER,MS,INDIANOLA,370,NEXION HEALTH
NEXION HEALTH AT PICAYUNE INC,NEXION HEALTH AT PICAYUNE INC,255141,PICAYUNE REHABILITATION AND HEALTHCARE CENTER,MS,PICAYUNE,370,NEXION HEALTH
NEXION HEALTH AT COLUMBIA INC,NEXION HEALTH AT COLUMBIA INC,255227,COLUMBIA REHABILITATION AND HEALTHCARE CENTER,MS,COLUMBIA,370,NEXION HEALTH
NEXION HEALTH AT CORINTH INC,NEXION HEALTH AT CORINTH INC,255232,CORNERSTONE REHABILITATION AND HEALTHCARE CENTER,MS,CORINTH,370,NEXION HEALTH
"ALDEN ESTATES-COURTS OF HUNTLEY, INC.","ALDEN ESTATES-COURTS OF HUNTLEY, INC.",146186,ALDEN ESTATES CTS OF HUNTLEY,IL,HUNTLEY,504,THE ALDEN NETWORK
NEXION HEALTH AT BYHALIA INC,NEXION HEALTH AT BYHALIA INC,255311,GREAT OAKS REHABILITATION AND HEALTHCARE CENTER,MS,BYHALIA,370,NEXION HEALTH
"THE LAURELS OF MILFORD, LLC","THE LAURELS OF MILFORD, LLC",365443,THE LAURELS OF MILFORD,OH,MILFORD,144,CIENA HEALTHCARE/LAUREL HEALTH CARE
ASBURY COURT NURSING & REHABILITATION LLC,ASBURY COURT NURSING & REHABILITATION LLC,146187,ASBURY COURT NURSING & REHAB,IL,DES PLAINES,,
NEXION HEALTH AT YAZOO CITY INC,NEXION HEALTH AT YAZOO CITY INC,255146,YAZOO CITY REHABILITATION AND HEALTHCARE CENTER,MS,YAZOO CITY,370,NEXION HEALTH
"NEXION HEALTH AT NATCHEZ, INC.","NEXION HEALTH AT NATCHEZ, INC.",255226,NATCHEZ REHABILITATION AND HEALTHCARE CENTER,MS,NATCHEZ,370,NEXION HEALTH
"THE LAURELS OF GAHANNA, LLC","THE LAURELS OF GAHANNA, LLC",366457,THE LAURELS OF GAHANNA,OH,COLUMBUS,144,CIENA HEALTHCARE/LAUREL HEALTH CARE
"THE LAURELS OF HAMILTON, LLC","THE LAURELS OF HAMILTON, LLC",365558,THE LAURELS OF HAMILTON,OH,HAMILTON,144,CIENA HEALTHCARE/LAUREL HEALTH CARE
"THE LAURELS OF MIDDLETOWN, LLC","THE LAURELS OF MIDDLETOWN, LLC",365457,THE LAURELS OF MIDDLETOWN,OH,MIDDLETOWN,144,CIENA HEALTHCARE/LAUREL HEALTH CARE
CABEZON NURSING AND REHAB CENTER LLC,CABEZON NURSING AND REHAB CENTER LLC,325127,The Suites Rio Vista,NM,Rio Rancho,193,EDURO HEALTHCARE
